文件,分类,类型,名称,效果,描述,获取方式,收益类型,价值,稀有度,备注
rogue_5_copper_B_01,随盒赠钱,衡,大炎通宝,普通又空白，什么也没有,熔铸技兴　炎币一统　曰之通宝　随处可见,,0,4,普通,
rogue_5_copper_B_02,随盒赠钱,厉,西廉贞,投出时，精英及领袖敌人的生命值、攻击力+10%，在险路恶敌及岁兽残识中攻击力、生命值额外+20％,西靠穷山　怪石嶙峋　小人得势　祸心包藏,堡垒战术分队及<请君入园·7+>难度的初始装钱,0,4,普通,
rogue_5_copper_B_03,随盒赠钱,厉,北刺面,投出时，精英及领袖敌人的移动速度+10%，在险路恶敌及岁兽残识中移动速度额外+20％,北窗有松　峥峥如怪　其枝冲面　唯有避之,突击战术分队及<请君入园·7+>难度的初始装钱,0,4,普通,
rogue_5_copper_B_04,随盒赠钱,厉,南见山,投出时，精英及领袖敌人的防御力+15%，在险路恶敌及岁兽残识中防御力额外+35％,坐北朝南　开门见山　重峦叠嶂　且挡其势,远程战术分队及<请君入园·7+>难度的初始装钱,0,4,普通,
rogue_5_copper_B_05,随盒赠钱,厉,东缺角,投出时，精英及领袖敌人的法术抗性+10，在险路恶敌及岁兽残识中法术抗性额外+20,天圆地方　东缺一角　言不入耳　家宅不宁,破坏战术分队及<请君入园·7+>难度的初始装钱,0,4,普通,
rogue_5_copper_B_06,随盒赠钱,衡,奇土生金,投出时，立即获得源石锭+4（下次投钱前变化为大炎通宝）,奇土覆币　闻有金臭　盈盈聚财　土亦消匿,,0,4,普通,
rogue_5_copper_B_07,随盒赠钱,衡,水生木护,投出时，立即获得护盾值+2（下次投钱前变化为大炎通宝）,埋之地下　可见水光　生木护宅　水光渐散,,0,4,普通,
rogue_5_copper_B_08,随盒赠钱,衡,金寒水衍,投出时，立即获得希望+1（下次投钱前变化为大炎通宝）,币掺异金　抚之极寒　凝露其上　盈盈水色,,0,4,普通,
rogue_5_copper_B_09,随盒赠钱,花,火灼土沃,投出时，立即获得目标生命上限+1（下次投钱前变化为大炎通宝）,灼烫难触　落地即燃　火熄烟灭　土肥草长,,0,4,普通,
rogue_5_copper_B_10,随盒赠钱,衡,投木炎延,投出时，所有敌人最大生命值-30%（下次投钱前变化为大炎通宝）,嵌于柴中　无可取下　投之敌营　猛火不灭,,0,4,普通,
rogue_5_copper_F_01,砺武兵钱,衡,苦寒,投出时，使战斗中位于最右边一列化境地块上的干员攻击力+60%,冽彼冬风　冰雪其雱　任力者苦　移城志高,,0,4,普通,
rogue_5_copper_F_02,砺武兵钱,衡,匪风,投出时，使战斗中位于最右边一列化境地块上的干员攻击速度+60,匪风发发　其流荡荡　两江之渔　以待风息,,0,4,普通,
rogue_5_copper_F_03,砺武兵钱,衡,霖雨,投出时，使战斗中位于最右边一列化境地块上的干员生命值+100%,霖雨霏霏　疏渠活水　润叶泽茎　风雨时也,,0,4,普通,
rogue_5_copper_F_04,砺武兵钱,衡,霹雳,投出时，使战斗中位于最右边一列化境地块上的干员防御力+100%,惊雷坠地　百工奔忙　引电疏霆　逢凶化吉,,0,4,普通,
rogue_5_copper_F_05,砺武兵钱,衡,旱热,投出时，使战斗中位于最左边一列化境地块上的干员防御力+100%,朝霞暮霞　无水煎茶　牧草盈仓　有备无患,,0,4,普通,
