文件,分类,类型,名称,效果,描述,获取方式,收益类型,价值,稀有度,备注
rogue_5_copper_B_01,随盒赠钱,衡,大炎通宝,普通又空白，什么也没有,熔铸技兴　炎币一统　曰之通宝　随处可见,,0,4,普通,
rogue_5_copper_B_02,随盒赠钱,厉,西廉贞,投出时，精英及领袖敌人的生命值、攻击力+10%,西靠穷山　怪石嶙峋　小人得势　祸心包藏,堡垒战术分队,0,4,普通,
rogue_5_copper_B_03,随盒赠钱,厉,北刺面,投出时，精英及领袖敌人的移动速度+10%,北窗有松　峥峥如怪　其枝冲面　唯有避之,突击战术分队,0,4,普通,
rogue_5_copper_B_04,随盒赠钱,厉,南见山,投出时，精英及领袖敌人的防御力+15%,坐北朝南　开门见山　重峦叠嶂　且挡其势,远程战术分队,0,4,普通,
rogue_5_copper_B_05,随盒赠钱,厉,东缺角,投出时，精英及领袖敌人的法术抗性+10,天圆地方　东缺一角　言不入耳　家宅不宁,破坏战术分队,0,4,普通,
rogue_5_copper_B_06,随盒赠钱,衡,奇土生金,投出时，立即获得源石锭+4,奇土覆币　闻有金臭　盈盈聚财　土亦消匿,,0,4,普通,
rogue_5_copper_B_07,随盒赠钱,衡,水生木护,投出时，立即获得护盾值+2,埋之地下　可见水光　生木护宅　水光渐散,,0,4,普通,
rogue_5_copper_B_08,随盒赠钱,衡,金寒水衍,投出时，立即获得希望+1,币掺异金　抚之极寒　凝露其上　盈盈水色,,0,4,普通,
rogue_5_copper_B_09,随盒赠钱,花,火灼土沃,投出时，立即获得目标生命上限+1,灼烫难触　落地即燃　火熄烟灭　土肥草长,,0,4,普通,
rogue_5_copper_B_10,随盒赠钱,衡,投木炎延,投出时，所有敌人最大生命值-30%,嵌于柴中　无可取下　投之敌营　猛火不灭,,0,4,普通,
rogue_5_copper_U_1,待铸子钱,厉,移山难,投出时，所有敌方单位防御力+2000，但每次受到伤害时防御力-100,土木学子　念彼高山　移城在即　技犹不及,,0,4,稀有,
rogue_5_copper_U_2,待铸子钱,衡,移山繁,投出时，所有敌方单位防御力+2000，但每次受到伤害时防御力-150,彼山崔崔　乡心眷眷　移山迢迢　将勤补拙,筹谋升级,0,4,稀有,
rogue_5_copper_U_3,待铸子钱,厉,朝闻道,投出时，每场战斗使随机一名干员属性+100%,天师学徒　难得贤才　朝起闻道　惺忪思眠,,0,4,稀有,
rogue_5_copper_U_4,待铸子钱,衡,天下先,投出时，每场战斗开始时使随机两名干员属性+100%,一朝出师　自树其帜　心怀天下　少年壮志,筹谋升级,0,4,稀有,
rogue_5_copper_U_5,待铸子钱,衡,初有文,在界园投出时，生效期间可刷新节点一次,炎字为首　千字呼出　同文同心　百氏共荣,,0,4,稀有,
rogue_5_copper_U_6,待铸子钱,花,载道远,在界园投出时，生效期间可刷新节点两次,著文载道　行以文传　彼江杳杳　有光始清,筹谋升级,0,4,稀有,
rogue_5_copper_U_7,待铸子钱,衡,勤运体,投出时，战斗结束后额外掉落1点目标生命值,轻舞缓行　习拳蹬腿　晨园熙攘　日日不倦,,0,4,稀有,
rogue_5_copper_U_8,待铸子钱,花,修性情,投出时，目标生命值上限+2,吹呼吐纳　凝思冥想　静以养性　防患未然,筹谋升级,0,4,稀有,
rogue_5_copper_U_9,待铸子钱,花,心无患,投出时，经过非战斗节点时目标生命值上限+1,澹然忘忧　琐事无争　心闲自乐　陶然成趣,筹谋升级,0,4,稀有,
rogue_5_copper_S_1,天师奇钱,花,鸭爵金币,投出时，战斗中必定出现强化奖励敌人,东西不错　千金不换　哈哈哈哈　再加个零,,0,4,传说,
rogue_5_copper_S_2,天师奇钱,衡,鸿蒙开荒,在界园投出时，立即获得4张票券,百氏从炎　避祸迁徙　两江之畔　垦墟为田,,0,4,传说,
rogue_5_copper_S_3,天师奇钱,花,己任重,投出时，获得资源时数量+1,平步青云　志在万里　云浮霞动　且兢其步,,0,4,传说,
rogue_5_copper_S_4,天师奇钱,花,圣诏封神,投出时，招募券变化为6星随机直升临时招募券,悠悠上古　群英争辉　圣诏赫赫　一举逐神,烟火漫天事件,0,4,传说,
rogue_5_copper_S_5,天师奇钱,花,神秘商贾,加入钱盒时票券+4，投出时购买道具希望+1,革旧之机　从新之望　非无可买　愿以何换,,0,4,传说,
rogue_5_copper_S_6,天师奇钱,厉,诛邪雷法,投出时，战斗中对随机化境降下落雷,其心昭明　有思则悟　诛恶及本　雷撼天地,,0,4,传说,
rogue_5_copper_S_7,天师奇钱,厉,商路难行,位于钱盒内时，当前节点获得纵向通路,国之初开　荒路匪起　出金买路　镖匪同存,,0,4,传说,
rogue_5_copper_S_8,天师奇钱,花,孜孜不倦,位于钱盒内时，每经过一个节点获得2源石锭,跬步千里　聚沙成塔　稀有懈怠　再难复返,,0,4,传说,
rogue_5_copper_F_01,砺武兵钱,衡,苦寒,投出时，最右边一列化境干员攻击力+60%,冽彼冬风　冰雪其雱　任力者苦　移城志高,,0,4,稀有,
rogue_5_copper_F_02,砺武兵钱,衡,匪风,投出时，最右边一列化境干员攻击速度+60,匪风发发　其流荡荡　两江之渔　以待风息,,0,4,稀有,
rogue_5_copper_F_03,砺武兵钱,衡,霖雨,投出时，最右边一列化境干员生命值+100%,霖雨霏霏　疏渠活水　润叶泽茎　风雨时也,,0,4,稀有,
rogue_5_copper_F_04,砺武兵钱,衡,霹雳,投出时，最右边一列化境干员防御力+100%,惊雷坠地　百工奔忙　引电疏霆　逢凶化吉,,0,4,稀有,
rogue_5_copper_F_05,砺武兵钱,衡,旱热,投出时，最左边一列化境干员防御力+100%,朝霞暮霞　无水煎茶　牧草盈仓　有备无患,,0,4,稀有,
